,city,country,lat,lng,max temp,humidity,cloudiness,wind,description
95,Ballyhard,IE,53.64405597261242,-8.453931710165676,279.43,80,100,3.68,overcast clouds
96,Aksarka,RU,67.20718582026964,68.30077405744797,251.75,100,100,0.22,overcast clouds
97,Margate,ZA,-31.178204268908082,30.707617862255645,297.48,89,100,3.91,overcast clouds
98,,,64.73986105908338,-47.56998707788695,253.53,78,1,10.47,clear sky
99,,,-83.8857671768734,-82.19113301074403,257.91,94,100,3.63,overcast clouds
100,,,-81.12404281135431,21.91550784278914,241.03,84,68,4.93,broken clouds
101,,,-23.942987908884135,11.538567362208738,291.69,90,0,8.68,clear sky
102,Cassilândia,BR,-19.250861992334237,-51.64145851076236,295.03,89,100,0.76,heavy intensity rain
103,,,-86.63898918096731,79.2028273527815,242.35,92,90,3.42,overcast clouds
104,Larbaâ,DZ,36.48124882581875,3.28138074083256,273.76,73,0,1.97,clear sky
105,,,46.91050692278827,-16.52107417911658,285.23,84,100,9.21,overcast clouds
106,Darnah,LY,33.4630422713395,22.726004528396118,290.34,61,2,8.11,clear sky
107,,,84.13922257219872,70.71540073888264,245.04,100,100,3.39,overcast clouds
108,,,-83.59349059948167,-45.746484238304525,258.69,84,100,3.39,overcast clouds
109,,,-78.80511237432854,6.112817167894121,238.87,98,84,3.29,broken clouds
110,,,30.200962350238086,-42.35150567252285,295.19,67,1,4.38,clear sky
111,,,30.439071974164463,-65.15845092418371,296.3,83,72,4.05,broken clouds
112,,,-78.23935752471077,51.84977287975332,245.36,96,100,2.11,overcast clouds
113,,,-79.64859001883956,-6.811887110680644,244.85,99,11,2.77,few clouds
114,,,-77.52869562188084,80.74514199985688,250.05,91,100,3.9,overcast clouds
115,Kita,ML,12.678404832969392,-9.424525377718794,294.52,17,11,1.09,few clouds
116,,,89.80407058137123,84.15935516663939,244.73,100,100,4.44,overcast clouds
117,,,76.26752984533817,-1.519307347767537,274.51,88,19,4.7,few clouds
118,Primorsk,RU,49.237720237063996,45.16533995297513,268.51,57,96,4.63,overcast clouds
119,,,73.43604516434243,-14.634375507311773,273.12,87,100,9.5,overcast clouds
120,,,57.294847010724936,-42.272680210647,273.88,95,100,11.94,snow
121,Province du Boulgou,BF,11.218663450339122,-0.6469941557633518,298.31,20,26,3.23,scattered clouds
122,,,-20.22963477146716,-37.204726882463184,298.6,82,59,8.08,broken clouds
