City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Santa Cruz De Tenerife,ES,2021-12-05 23:07:10,28.4682,-16.2546,69.69,77,40,7.0
104,Pacific Grove,US,2021-12-05 23:05:04,36.6177,-121.9166,72.3,84,40,3.0
105,Erenhot,CN,2021-12-05 23:04:53,43.6475,111.9767,21.09,81,3,2.21
106,Torbay,CA,2021-12-05 23:03:15,47.6666,-52.7314,32.76,78,25,4.0
107,Colchester,GB,2021-12-05 23:02:29,51.8892,0.9042,42.24,90,76,10.92
108,Selkirk,CA,2021-12-05 23:04:24,50.1436,-96.8845,15.1,89,100,19.46
109,Hofn,IS,2021-12-05 23:03:11,64.2539,-15.2082,41.11,95,100,30.89
110,Punta Arenas,CL,2021-12-05 23:05:59,-53.15,-70.9167,53.71,43,20,18.41
111,Luderitz,,2021-12-05 23:06:05,-26.6481,15.1594,60.75,88,0,10.04
112,Lock Haven,US,2021-12-05 23:07:11,41.137,-77.4469,47.35,45,100,11.74
113,Ilulissat,GL,2021-12-05 23:03:22,69.2167,-51.1,30.22,64,75,13.8
114,Shilong,CN,2021-12-05 23:07:12,23.1123,113.8425,60.1,42,10,5.28
115,Labuhan,ID,2021-12-05 23:07:12,-6.8844,112.2051,78.49,80,100,6.38
116,Terralba,IT,2021-12-05 23:07:12,39.7192,8.6392,45.01,82,95,13.33
117,Chokurdakh,RU,2021-12-05 23:03:23,70.6333,147.9167,-42.14,99,57,5.82
118,Yuli,NG,2021-12-05 23:07:13,9.6989,10.2744,77.47,26,33,6.02
119,Rosetta,EG,2021-12-05 23:07:13,31.4044,30.4164,65.71,67,67,5.7
120,Kilis,TR,2021-12-05 23:07:13,36.7161,37.115,37.63,44,0,4.81
121,Rocha,UY,2021-12-05 23:06:27,-34.4833,-54.3333,61.07,97,86,5.23
122,Merauke,ID,2021-12-05 23:04:48,-8.4667,140.3333,81.23,79,100,3.78
123,Agadez,NE,2021-12-05 23:07:14,19.75,10.25,60.24,22,44,5.03
124,New Norfolk,AU,2021-12-05 23:02:29,-42.7826,147.0587,63.66,49,45,3.0
125,Port Hardy,CA,2021-12-05 23:06:56,50.6996,-127.4199,36.75,68,100,7.09
126,Gotsu,JP,2021-12-05 23:07:14,35.0,132.2167,45.55,73,15,6.02
127,Petropavlovsk-Kamchatskiy,RU,2021-12-05 23:07:15,53.0452,158.6483,25.39,63,75,8.95
128,Neiafu,TO,2021-12-05 23:07:15,-18.65,-173.9833,81.28,83,75,9.22
129,Qandala,SO,2021-12-05 23:07:15,11.472,49.8728,73.94,66,8,4.45
130,Grand Gaube,MU,2021-12-05 23:07:16,-20.0064,57.6608,78.39,70,7,4.0
131,Wenling,CN,2021-12-05 23:07:16,28.3669,121.36,46.9,82,3,7.72
132,Valleyview,CA,2021-12-05 23:07:16,55.0667,-117.2859,4.53,85,2,4.43
133,Codrington,AU,2021-12-05 23:07:17,-38.2667,141.9667,70.02,41,99,10.29
134,Harper,LR,2021-12-05 23:04:33,4.375,-7.7169,80.4,81,24,8.75
135,Sao Felix Do Xingu,BR,2021-12-05 23:03:52,-6.6447,-51.995,73.02,95,95,1.3
136,Nokaneng,BW,2021-12-05 23:07:17,-19.6667,22.2667,72.45,65,100,4.88
137,Pevek,RU,2021-12-05 23:04:58,69.7008,170.3133,-9.47,96,100,17.13
